uf;porte_do_cliente;setor_bndes;produto;ano;;desembolsos_reais
AC;GRANDE;AGROPECUÁRIA;BNDES AUTOMÁTICO;2010;count;1.0
AC;GRANDE;AGROPECUÁRIA;BNDES AUTOMÁTICO;2010;sum;7994.0
AC;GRANDE;AGROPECUÁRIA;BNDES FINAME;1995;count;1.0
AC;GRANDE;AGROPECUÁRIA;BNDES FINAME;1995;sum;82229.99
AC;GRANDE;AGROPECUÁRIA;BNDES FINAME;2007;count;1.0
AC;GRANDE;AGROPECUÁRIA;BNDES FINAME;2007;sum;180000.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2007;count;3.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2007;sum;823441.01
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2008;count;1.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2008;sum;132485.32
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;count;1.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;sum;802071.76
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2014;count;1.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2014;sum;95222.98
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;count;2.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;sum;3807500.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2018;count;1.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2018;sum;467500.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;1997;count;6.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;1997;sum;6205553.95
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;1998;count;4.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;1998;sum;783801.07
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2000;count;1.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2000;sum;846464.4
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;count;1.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;sum;47200.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;count;2.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;sum;352160.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;count;4.0
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;sum;5367051.84
AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2008;count;1.0
