"ano";"mes";"bndes_exim_pre_embarque";"bndes_exim_pos_embarque"
1995;1;"2,67221816";"8,63120435"
1995;2;"5,94644162";"8,2016162"
1995;3;"1,121965";"33,17468253"
1995;4;"1,067234";"18,06152214"
1995;5;"1,570833";"29,32978977"
1995;6;"3,83884379";"25,51127826"
1995;7;"2,67919727";"20,81616567"
1995;8;"2,58714948";"22,40790651"
1995;9;"4,39463677";"21,76628237"
1995;10;"27,76611718";"10,60671933"
1995;11;"13,4001705";"32,24645883"
1995;12;"18,77080409";"25,90233361"
1996;1;"11,68522842";"19,9018105"
1996;2;"4,82769808";"24,41554403"
1996;3;"8,59456044";"31,89117116"
1996;4;"6,37549069";"20,06077739"
1996;5;"7,02604341";"16,83324236"
1996;6;"15,28912826";"19,81512859"
1996;7;"8,87801495";"24,59971392"
1996;8;"1,08531474";"28,59232308"
1996;9;"6,21682664";"26,20719862"
1996;10;"10,32748984";"19,4121991"
1996;11;"3,90943868";"32,27111646"
1996;12;"2,02937435";"41,77227859"
1997;1;"73,045";"17,44374107"
1997;2;"0,56325295";"40,27826503"
1997;3;"0,0";"32,34486226"
1997;4;"61,65825607";"14,27474908"
1997;5;"11,69915042";"57,4620853"
1997;6;"41,89593234";"66,8094232"
1997;7;"34,61004759";"18,51600186"
1997;8;"111,20659946";"72,6401714300001"
1997;9;"55,74833963";"48,01049153"
1997;10;"82,64932707";"73,36016299"
1997;11;"62,38628983";"58,07464437"
1997;12;"108,2542015";"144,12502694"
1998;1;"140,7225148";"49,37170434"
1998;2;"49,78312114";"83,01166748"
1998;3;"109,20013758";"72,28745214"
1998;4;"51,41081321";"78,6257367"
1998;5;"117,82264985";"100,87713455"
1998;6;"143,87283153";"108,11388788"
1998;7;"88,71812914";"135,68813023"
1998;8;"142,86094593";"104,64374649"
1998;9;"42,70678441";"140,35221927"
1998;10;"9,30600042";"92,76074186"
1998;11;"91,47717717";"163,6978066"
1998;12;"166,10370516";"125,46675758"
1999;1;"114,32582635";"115,56408115"
1999;2;"87,58261476";"211,60501857"
1999;3;"184,5078209";"211,65673904"
1999;4;"166,66144129";"113,62949646"
1999;5;"147,2392926";"127,26710828"
1999;6;"200,01576917";"110,78577748"
1999;7;"81,12605674";"188,81190018"
1999;8;"91,27174919";"185,58093618"
1999;9;"167,36207974";"199,35522394"
1999;10;"229,83459855";"272,38931784"
1999;11;"106,63129741";"185,28329138"
1999;12;"133,79126023";"202,89947892"
2000;1;"58,2382165";"134,4933691"
2000;2;"48,70938891";"193,85580017"
2000;3;"224,41285845";"140,11387483"
2000;4;"84,15188239";"95,77032997"
2000;5;"69,55784614";"162,84553784"
2000;6;"114,04748157";"200,85204237"
2000;7;"35,1922687";"173,58594223"
2000;8;"171,70719434";"143,99189006"
2000;9;"119,45287624";"166,04490612"
2000;10;"589,14627586";"719,13631601"
2000;11;"285,54274936";"962,98093681"
2000;12;"626,37839897";"213,24422287"
2001;1;"112,19218579";"291,42514787"
2001;2;"310,0776486";"214,32996607"
2001;3;"482,97207074";"353,00052509"
2001;4;"109,28230751";"361,55609057"
2001;5;"122,66531674";"379,72158863"
2001;6;"60,71452993";"293,47321962"
2001;7;"174,41019258";"78,85281479"
2001;8;"280,82744041";"354,1313379"
2001;9;"61,94048969";"241,78627298"
2001;10;"223,35884323";"475,77591101"
2001;11;"180,66105772";"196,58272371"
2001;12;"90,29755033";"564,0387177"
2002;1;"200,31449502";"446,30612292"
2002;2;"16,12893626";"325,88492096"
2002;3;"107,71672946";"201,62273254"
2002;4;"58,88420523";"422,78800106"
2002;5;"130,63224661";"908,09215108"
2002;6;"147,74603987";"1549,66256924"
2002;7;"74,15007682";"1058,67157994"
2002;8;"237,64604512";"803,87295133"
2002;9;"977,36592885";"404,30723523"
2002;10;"954,64170134";"750,95473286"
2002;11;"501,88737791";"391,01155946"
2002;12;"809,78999144";"309,30237708"
2003;1;"545,12058618";"336,56060122"
2003;2;"215,70874637";"176,4943413"
2003;3;"177,46475525";"222,61701711"
2003;4;"67,45850031";"141,74487689"
2003;5;"113,0659787";"173,75471799"
