"ano";"mes";"bndes_exim_pre_embarque";"bndes_exim_pos_embarque"
1995;1;"3154,680457";"10170,30461"
1995;2;"7062,5530254";"9739,6924509"
1995;3;"1253,3233924";"36904,8597959"
1995;4;"1171,0";"19946,0789442"
1995;5;"1763,0";"32772,8365155"
1995;6;"4179,0930051";"27882,2390338"
1995;7;"2887,7336814";"22465,4624485"
1995;8;"2741,4846204";"23821,1774439"
1995;9;"4607,5269954";"22853,3447438"
1995;10;"28911,4293722";"11066,6610687"
1995;11;"13909,4492255";"33495,0420078"
1995;12;"19394,9877076";"26759,3465403"
1996;1;"12012,7862593";"20459,4856654"
1996;2;"4920,5409499";"24901,3401229"
1996;3;"8717,2478066";"32334,6524069"
1996;4;"6439,8184587";"20270,592589"
1996;5;"7060,6779911";"16915,4373071"
1996;6;"15287,268619";"19791,3377458"
1996;7;"8825,1381524";"24443,3297373"
1996;8;"1070,394783";"28217,2959455"
1996;9;"6093,9622394";"25728,9817155"
1996;10;"10103,1000297";"18950,3583198"
1996;11;"3802,0897433";"31334,3958062"
1996;12;"1957,4791396";"40255,2428471"
1997;1;"70000,0";"16724,8852056"
1997;2;"536,0739983";"38386,9690194"
1997;3;"0,0";"30654,0517324"
1997;4;"58030,4952988";"13460,5603146"
1997;5;"10945,03734";"53775,3611117"
1997;6;"39031,0689287";"62148,2949276"
1997;7;"32009,7145688";"17144,9586539"
1997;8;"102344,14224";"66572,4955414"
1997;9;"50932,893992";"43905,452211"
1997;10;"75147,8286973";"66709,6363315"
1997;11;"56320,16746";"52458,5778186"
1997;12;"97171,07776";"129278,1321199"
1998;1;"125564,39973";"44119,4816055"
1998;2;"44224,0002";"73668,0849055"
1998;3;"96223,57789";"63761,7451481"
1998;4;"45091,40847";"68983,4035772001"
1998;5;"102524,63";"87875,2520290001"
1998;6;"124724,06325";"93614,8138059001"
1998;7;"76401,624";"116753,7756017"
1998;8;"121736,842";"89248,7419326"
1998;9;"36188,1085398";"118902,8105948"
1998;10;"7821,0849";"77989,7134647"
1998;11;"76862,7975909";"137153,0695472"
1998;12;"137694,3454134";"104037,0789886"
1999;1;"68183,45051";"67706,2933714"
1999;2;"46811,3517337";"109312,6904533"
1999;3;"101256,85846";"115685,9038253"
1999;4;"98277,9283902";"67072,3320998"
1999;5;"86678,4741335";"75597,1600053"
1999;6;"113303,57413";"62751,7382876"
1999;7;"45266,47";"104779,1400397"
1999;8;"48020,96268";"99119,9725661"
