"ano";"mes";"agropecuaria";"industria_extrativa";"industria_de_transformacao";"comercio_e_servicos"
1995;1;"0,0";"0,0";"13324,985067";"0,0"
1995;2;"0,0";"0,0";"16802,2454763";"0,0"
1995;3;"0,0";"0,0";"38158,1831883";"0,0"
1995;4;"0,0";"0,0";"21117,0789442";"0,0"
1995;5;"0,0";"0,0";"34535,8365155";"0,0"
1995;6;"0,0";"0,0";"32061,3320389";"0,0"
1995;7;"0,0";"0,0";"25353,1961299";"0,0"
1995;8;"0,0";"0,0";"26562,6620643";"0,0"
1995;9;"0,0";"0,0";"27460,8717392";"0,0"
1995;10;"0,0";"0,0";"39978,0904409";"0,0"
1995;11;"0,0";"0,0";"47404,4912333";"0,0"
1995;12;"0,0";"0,0";"45830,3037139";"324,030534"
1996;1;"0,0";"0,0";"32247,0642349";"225,2076898"
1996;2;"0,0";"0,0";"27732,3670827";"2089,5139901"
1996;3;"0,0";"0,0";"37983,1786503";"3068,7215632"
1996;4;"0,0";"0,0";"26480,8623107";"229,548737"
1996;5;"0,0";"0,0";"23196,7505538";"779,3647444"
1996;6;"0,0";"0,0";"34170,9799531";"907,6264117"
1996;7;"0,0";"0,0";"32033,4777543";"1234,9901354"
1996;8;"0,0";"0,0";"28144,3000143";"1143,3907142"
1996;9;"0,0";"0,0";"30809,457136";"1013,4868189"
1996;10;"0,0";"0,0";"28425,0174355";"628,440914"
1996;11;"0,0";"0,0";"33280,6837804";"1855,8017691"
1996;12;"0,0";"0,0";"37160,4323131";"5052,2896736"
1997;1;"1869,5212161";"0,0";"84760,9853976";"94,3785919"
1997;2;"564,923396";"0,0";"38135,4695851";"222,6500366"
1997;3;"469,290697";"0,0";"28314,1537994";"1870,607236"
1997;4;"0,0";"0,0";"71114,4974926";"376,5581208"
1997;5;"0,0";"0,0";"63403,7407184";"1316,6577333"
1997;6;"0,0";"190,65777";"97516,765785";"3471,9403013"
1997;7;"0,0";"0,0";"49030,2616534";"124,4115693"
1997;8;"0,0";"0,0";"168489,1506443";"427,4871371"
1997;9;"0,0";"1129,8399103";"92687,999977";"1020,5063157"
1997;10;"309,8963525";"0,0";"141244,0692805";"303,4993958"
1997;11;"203,7843803";"0,0";"106673,5200748";"1901,4408235"
1997;12;"298,5073794";"372,7522726";"221619,6020042";"4158,3482237"
1998;1;"2255,1785813";"1518,7294763";"162013,7475692";"3896,2257087"
1998;2;"642,01181";"0,6231889";"114443,3790708";"2806,0710358"
1998;3;"341,6901458";"0,0";"158169,5092066";"1474,1236857"
1998;4;"0,0";"0,0";"108267,2415613";"5807,5704859"
1998;5;"7874,63";"71,9682762";"181116,7955516";"1336,4882012"
1998;6;"0,0";"0,0";"196094,9661508";"22243,9109051"
1998;7;"604,2";"0,0";"162226,8436304";"30324,3559713"
1998;8;"0,0";"0,0";"190237,5887542";"20747,9951784"
1998;9;"0,0";"0,0";"137128,449569";"17962,4695656"
1998;10;"0,0";"0,0";"80790,8605421";"5019,9378226"
1998;11;"0,0";"0,0";"197832,1225192";"16183,7446189"
1998;12;"1500,0";"0,0";"133807,4502272";"106423,9741748"
1999;1;"1093,55526";"0,0";"133167,0448529";"1629,1437685"
1999;2;"0,0";"0,0";"144254,2995012";"11869,7426858"
1999;3;"2166,65895";"0,0";"147847,9931397";"66928,1101956"
1999;4;"0,0";"0,0";"163935,3279549";"1414,9325351"
1999;5;"0,0";"0,0";"158415,8765589";"3859,7575799"
1999;6;"628,30095";"0,0";"166302,9297863";"9124,0816813"
1999;7;"1932,8";"0,0";"145319,9267083";"2792,8833314"
1999;8;"0,0";"0,0";"145484,8780481";"1656,057198"
1999;9;"65,13855";"0,0";"129768,1011722";"63010,3152785"
1999;10;"0,0";"255,625";"215634,8965271";"37982,1097337"
1999;11;"409,0";"101,44";"127770,7413986";"22868,1309633"
1999;12;"511,25";"0,0";"151474,915682";"31841,3216941"
2000;1;"0,0";"0,0";"103617,3556785";"3132,9931551"
2000;2;"0,0";"0,0";"127608,3095545";"9094,0032315"
2000;3;"0,0";"0,0";"204458,5173967";"4916,1267783"
2000;4;"0,0";"484,756";"97267,9730826";"4204,1397885"
2000;5;"0,0";"0,0";"117372,5047464";"9684,4597396"
2000;6;"719,372";"376,948";"172523,7120042";"162,1021214"
2000;7;"750,0";"0,0";"113599,0461395";"1425,6275739"
2000;8;"1516,764";"0,0";"168264,6710648";"5029,3918964"
2000;9;"3070,87422";"0,0";"149440,4519929";"2562,1721172"
2000;10;"1213,9519863";"17519,000001";"677387,9616925";"2254,1342215"
2000;11;"2562,3571291";"155,2350229";"632470,2194088";"13178,3113903"
2000;12;"2532,1373048";"2351,087042";"422113,6110365";"1374,3283791"
2001;1;"600,0";"0,0";"200133,1389513";"5528,5250772"
2001;2;"0,0";"0,0";"260410,54109";"1113,4535656"
2001;3;"0,0";"248,64";"394089,4577971";"5542,6367976"
2001;4;"0,0";"0,0";"212868,6288236";"1025,568937"
2001;5;"240,033862";"0,0";"216035,9648599";"1425,7055041"
2001;6;"205,3058464";"0,0";"140358,1883289";"6498,2668055"
2001;7;"701,2528586";"0,0";"100713,9458324";"2776,9248941"
2001;8;"0,0";"0,0";"251372,126285";"1691,8931979"
2001;9;"1088,2198822";"0,0";"108834,2048826";"3741,1043361"
2001;10;"73,8448446";"0,0";"250961,6302381";"4121,9897401"
2001;11;"0,0";"0,0";"146883,485347";"2229,1421338"
2001;12;"395,0";"153,06";"235942,0846172";"44150,3216187"
2002;1;"205,7512203";"0,0";"270878,1555573";"0,0"
2002;2;"1123,76";"0,0";"137708,3203608";"2311,0980292"
2002;3;"2526,7863307";"0,0";"122422,5025346";"6920,5000239"
2002;4;"0,0";"0,0";"185898,5186825";"21476,4591267"
2002;5;"22,3564";"0,0";"407209,1433897";"7506,5165218"
2002;6;"157,0678856";"185,0725577";"623802,6282367";"10127,3222567"
2002;7;"3803,9639958";"285,062425";"373895,7796908";"11564,0308893"
2002;8;"1356,671423";"0,0";"303270,7471921";"28931,6888967"
2002;9;"37442,7363317";"0,0";"363768,3983672";"14764,8006086"
2002;10;"16305,5250396";"69,3890321";"416004,9851604";"13040,0400667"
2002;11;"5978,7229744";"0,0";"237448,7732329";"6681,3897899"
2002;12;"19591,9771418";"0,0";"282351,6256381";"9183,4279956"
2003;1;"9411,9475579";"3316,0346747";"240224,5573503";"4658,9606087"
2003;2;"0,0";"0,0";"96137,5450623";"12989,7278248"
2003;3;"821,1875606";"0,0";"110419,2272415";"6722,3823717"
2003;4;"2124,9312084";"0,0";"60703,0409295";"4068,4882901"
2003;5;"0,0";"0,0";"94328,238228";"3309,570229"
2003;6;"208,5668811";"440,4806103";"564092,3223084";"45617,6555526"
2003;7;"2215,2118225";"1316,38";"80733,0978995";"16443,980567"
2003;8;"693,6627872";"0,0";"57799,7558758";"8163,4489125"
2003;9;"4809,7319889";"0,0";"73769,0635784";"26569,7582786"
2003;10;"6585,737621";"8,19";"368448,6156014";"35529,6494558"
2003;11;"0,0";"500,7221";"1369503,9482493";"8325,5831578"
2003;12;"2042,5888687";"0,0";"661922,7553407";"18209,5374784"
2004;1;"3086,442099";"1048,2460497";"280676,6408657";"4140,4819047"
2004;2;"0,0";"0,0";"345916,2498942";"101379,0264758"
2004;3;"3022,1383216";"0,0";"429638,8501492";"33004,3282477"
2004;4;"4878,6456169";"0,0";"316104,5467889";"14765,5832076"
2004;5;"0,0";"0,0";"63966,6018268";"7439,0676022"
2004;6;"0,0";"0,0";"287090,5698143";"2397,3720585"
2004;7;"2073,8739942";"0,0";"147257,0596977";"9581,7636103"
2004;8;"4262,7960364";"0,0";"76553,3364742";"18011,5187052"
2004;9;"4395,8150065";"1095,907077";"96380,6954249";"2899,7029437"
2004;10;"498,6219002";"0,0";"394678,9486157";"52879,1067352"
2004;11;"0,0";"0,0";"422926,0341394";"5629,14576"
2004;12;"0,0";"0,0";"707068,6610297";"16270,2770318"
2005;1;"1005,489171";"0,0";"610537,8898423";"11342,0520244"
2005;2;"250,0";"0,0";"153417,3625986";"17750,6748278"
2005;3;"0,0";"0,0";"314462,6739933";"19587,9374944"
2005;4;"0,0";"0,0";"157064,5011673";"12496,5605452"
2005;5;"504,5";"0,0";"312447,4438886";"40736,9777595"
2005;6;"724,6848431";"0,0";"780287,2206711";"38066,3486888"
2005;7;"2046,3152485";"0,0";"228627,1628707";"56188,7916527"
2005;8;"0,0";"0,0";"277222,7243682";"79371,4000731"
2005;9;"250,0";"0,0";"195641,4978073";"24460,1509321"
2005;10;"2063,380773";"0,0";"197971,8538936";"20677,5428861"
2005;11;"4431,7633635";"0,0";"1474422,5438173";"20261,158724"
2005;12;"653,3954785";"0,0";"789693,2178876";"17223,6215818"
2006;1;"3700,5087453";"0,0";"96735,0630586";"22481,7750553"
2006;2;"0,0";"0,0";"179894,8348131";"5062,7918427"
2006;3;"0,0";"11741,5211207";"141184,9733305";"19000,2871909"
2006;4;"3047,7125306";"17722,123087";"847427,8935125";"12931,557041"
2006;5;"0,0";"13450,7170174";"280426,0729709";"10967,9172291"
2006;6;"0,0";"21179,0952542";"634925,3043662";"13992,2685303"
2006;7;"0,0";"16748,0186347";"788054,5938803";"7998,1235503"
