"ano";"mes";"bndes_finem";"bndes_exim";"bndes_mercado_de_capitais";"bndes_nao_reembolsavel";"bndes_microcredito";"bndes_prestacao_de_garantia";"bndes_finame"
1995;1;"67,40593459";"8,63120435";"105,93229785";"0,80986001";"0,0";"0,0";"0,0"
1995;2;"42,77520026";"8,2016162";"84,35619277";"0,79908984";"0,0";"0,0";"0,0"
1995;3;"102,71904994";"33,17468253";"38,86188956";"0,0";"0,0";"0,0";"0,0"
1995;4;"99,52694763";"18,06152214";"0,40626456";"0,0";"0,0";"0,0";"0,0"
1995;5;"203,17042096";"29,32978977";"1,00296806";"0,0";"0,0";"0,0";"0,0"
1995;6;"99,17960058";"25,51127826";"25,43667664";"0,58464691";"0,0";"0,0";"0,0"
1995;7;"54,65190906";"20,81616567";"0,1848";"0,0";"0,0";"0,0";"0,0"
1995;8;"66,542047";"22,40790651";"0,46440576";"0,0";"0,0";"0,0";"0,0"
1995;9;"104,65561907";"21,76628237";"57,62848156";"0,00728741";"0,0";"0,0";"0,0"
1995;10;"154,95213255";"10,60671933";"96,18466365";"0,1962358";"0,0";"0,0";"0,0"
1995;11;"191,66021871";"32,24645883";"4,05852533";"0,61702635";"0,0";"0,0";"0,0"
1995;12;"596,83942246";"25,90233361";"243,64757304";"0,0";"0,0";"0,0";"0,0"
1996;1;"292,77928947";"19,9018105";"14,11457636";"0,0";"0,0";"0,0";"0,0"
1996;2;"407,95892171";"24,41554403";"15,66552241";"0,0";"0,0";"0,0";"0,0"
1996;3;"186,55933491";"31,89117116";"3,6847225";"0,8956774";"0,0";"0,0";"0,0"
1996;4;"106,55632191";"20,06077739";"42,16106072";"0,0";"0,0";"0,0";"0,0"
1996;5;"171,59897275";"16,83324236";"764,36956119";"0,0";"0,0";"0,0";"0,0"
1996;6;"214,3018559";"19,81512859";"10,17990502";"0,0";"0,0";"0,0";"0,0"
1996;7;"183,47088106";"24,59971392";"174,31449771";"0,0";"0,0";"0,0";"0,0"
1996;8;"184,80827043";"28,59232308";"5,35510714";"0,0";"0,0";"0,0";"0,0"
1996;9;"306,27970356";"26,20719862";"173,50069491";"0,0";"0,0";"0,0";"0,0"
1996;10;"258,0621221";"19,4121991";"0,87418828";"0,0";"0,0";"0,0";"0,0"
1996;11;"323,32325328";"32,27111646";"57,47023954";"0,0";"0,0";"0,0";"0,0"
1996;12;"827,06369564";"41,77227859";"155,59491045";"0,0";"0,0";"0,0";"0,0"
1997;1;"149,4795914";"17,44374107";"285,74567397";"0,0";"0,0";"1,1063123";"0,0"
1997;2;"182,33115407";"40,27826503";"3,16164401";"0,25";"0,0";"0,0";"0,0"
1997;3;"112,17842342";"32,34486226";"259,52419259";"0,53192867";"0,0";"0,0";"0,0"
1997;4;"247,02545954";"45,73916908";"94,33956052";"0,03679";"0,0";"0,0";"0,0"
1997;5;"361,52824272";"57,4620853";"524,65544391";"0,33981577";"0,0";"0,0";"0,0"
1997;6;"955,11096326";"74,3232232";"94,53695958";"0,27154334";"0,0";"0,0";"0,0"
1997;7;"784,11190254";"31,49600186";"68,8934505";"0,17983334";"0,0";"0,0";"0,0"
1997;8;"777,82123596";"103,73092193";"73,68828";"0,641";"0,0";"0,0";"0,0"
1997;9;"1371,91138871";"55,67899153";"111,41331236";"0,12418923";"0,0";"0,0";"0,0"
1997;10;"667,311078420001";"94,0430029899999";"220,9339345";"0,22709646";"0,0";"0,0";"0,0"
1997;11;"1803,97524162";"58,07464437";"41,81329276";"0,0";"0,0";"0,0";"0,0"
1997;12;"1335,5794407";"148,58302694";"549,6846773";"3,08126686";"0,0";"0,0";"0,0"
1998;1;"373,43420222";"79,62410434";"3,42234097";"0,0";"0,0";"0,0";"0,0"
1998;2;"329,92561858";"83,01166748";"336,9925198";"0,0";"0,0";"0,0";"0,0"
1998;3;"349,84397229";"112,01945214";"68,32974282";"0,0";"0,0";"0,0";"0,0"
1998;4;"1327,2916469";"84,3277367";"283,90206735";"0,18025979";"0,0";"0,0";"0,0"
1998;5;"252,1610648";"118,17363455";"155,387157";"1,36843613";"0,0";"0,0";"0,0"
1998;6;"371,68460225";"143,84058788";"756,64465619";"2,17709414";"0,0";"0,0";"0,0"
1998;7;"826,71354155";"158,48096741";"85,4782058";"7,75217473";"0,0";"0,0";"0,0"
1998;8;"1075,45921808";"139,93274649";"73,40916928";"3,56813758";"0,0";"0,0";"0,0"
1998;9;"777,972184820001";"140,35221927";"401,14116542";"2,91398812";"0,0";"0,0";"0,0"
1998;10;"451,10148256";"92,76074186";"86,57165099";"1,44204758";"0,0";"0,0";"0,0"
1998;11;"384,43305733";"199,3948066";"130,12374478";"2,06748416";"0,0";"0,0";"0,0"
1998;12;"595,07419485";"161,89945758";"54,46332936";"3,1134217";"0,0";"0,0";"0,0"
1999;1;"223,99185457";"115,56408115";"0,64473064";"0,46063763";"0,0";"0,0";"0,0"
1999;2;"225,58294967";"213,48496287";"228,90209828";"3,38885435";"0,0";"0,0";"0,0"
1999;3;"381,71772739";"264,68893404";"127,80097346";"4,27088737";"0,0";"0,0";"0,0"
1999;4;"207,45388041";"165,59587146";"21,9657672";"0,88684787";"0,0";"0,0";"0,0"
1999;5;"290,09701547";"131,92584199";"100,07380434";"2,3724673";"0,0";"0,0";"0,0"
