"ano";"mes";"bndes_finem";"bndes_exim";"bndes_mercado_de_capitais";"bndes_nao_reembolsavel";"bndes_microcredito";"bndes_prestacao_de_garantia";"bndes_finame";"bndes_medias_empresas"
1995;1;"79655,1055865";"10170,30461";"124719,49609";"962,9726634";"0,0";"0,0";"0,0";"0,0"
1995;2;"51048,398042";"9739,6924509";"100766,73611";"954,7070967";"0,0";"0,0";"0,0";"0,0"
1995;3;"114730,7320273";"36904,8597959";"43544,90007";"0,0";"0,0";"0,0";"0,0";"0,0"
1995;4;"109940,057076";"19946,0789442";"444,97761";"0,0";"0,0";"0,0";"0,0";"0,0"
1995;5;"226743,2548879";"32772,8365155";"1126,9304";"0,0";"0,0";"0,0";"0,0";"0,0"
1995;6;"108762,1114283";"27882,2390338";"27966,67634";"643,8282871";"0,0";"0,0";"0,0";"0,0"
1995;7;"58943,1422907";"22465,4624485";"199,56803";"0,0";"0,0";"0,0";"0,0";"0,0"
1995;8;"70779,2030978";"23821,1774439";"496,16";"0,0";"0,0";"0,0";"0,0";"0,0"
1995;9;"109915,6361083";"22853,3447438";"60483,0512096";"7,64681";"0,0";"0,0";"0,0";"0,0"
1995;10;"161284,5906864";"11066,6610687";"100213,8011884";"206,564";"0,0";"0,0";"0,0";"0,0"
1995;11;"198936,2688024";"33495,0420078";"4219,57911";"641,5996151";"0,0";"0,0";"0,0";"0,0"
1995;12;"616817,4620629";"26759,3465403";"251223,47833";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;1;"300237,4547403";"20459,4856654";"14455,38193";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;2;"416133,6910612";"24901,3401229";"16007,98098";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;3;"189228,5093614";"32334,6524069";"3728,34412";"910,0562893";"0,0";"0,0";"0,0";"0,0"
1996;4;"107535,9709815";"20270,592589";"42667,37054";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;5;"172340,7765376";"16915,4373071";"767211,88842";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;6;"214184,6953505";"19791,3377458";"10179,03663";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;7;"182243,4069856";"24443,3297373";"173463,7428322";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;8;"182300,1944415";"28217,2959455";"5290,85098";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;9;"300380,0746307";"25728,9817155";"170102,26241";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;10;"251723,4842354";"18950,3583198";"852,61706";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;11;"313773,4358588";"31334,3958062";"55752,11708";"0,0";"0,0";"0,0";"0,0";"0,0"
1996;12;"797019,1134667";"40255,2428471";"149890,61115";"0,0";"0,0";"0,0";"0,0";"0,0"
1997;1;"143277,9886667";"16724,8852056";"273678,1072336";"0,0";"0,0";"1058,0645562";"0,0";"0,0"
1997;2;"173776,492241";"38386,9690194";"3007,0108";"238,9372073";"0,0";"0,0";"0,0";"0,0"
1997;3;"106034,5768656";"30654,0517324";"245001,4483469";"503,7366097";"0,0";"0,0";"0,0";"0,0"
1997;4;"232801,3175819";"43060,5603146";"89093,62617";"34,7403209";"0,0";"0,0";"0,0";"0,0"
1997;5;"338523,4083449";"53775,3611117";"490517,23829";"317,7767524";"0,0";"0,0";"0,0";"0,0"
1997;6;"888689,1981465";"69148,2949276";"87925,62003";"252,0403161";"0,0";"0,0";"0,0";"0,0"
1997;7;"725209,8741685";"29144,9586539";"63761,86282";"166,1738495";"0,0";"0,0";"0,0";"0,0"
1997;8;"716502,0905019";"95214,9255413999";"67856,78583";"587,4334495";"0,0";"0,0";"0,0";"0,0"
1997;9;"1255202,4742821";"50905,452211";"101797,08132";"113,3939144";"0,0";"0,0";"0,0";"0,0"
1997;10;"606341,5875334";"85509,6363315001";"201136,1742325";"206,564";"0,0";"0,0";"0,0";"0,0"
1997;11;"1628685,6378315";"52458,5778186";"37861,00751";"0,0";"0,0";"0,0";"0,0";"0,0"
1997;12;"1200927,4846979";"133278,1321199";"493164,8085168";"2766,6520754";"0,0";"0,0";"0,0";"0,0"
1998;1;"333260,9302287";"71119,4816055";"3059,67087";"0,0";"0,0";"0,0";"0,0";"0,0"
1998;2;"292582,3136128";"73668,0849055";"299682,20595";"0,0";"0,0";"0,0";"0,0";"0,0"
1998;3;"308440,2391677";"98761,7451481001";"60198,8250777";"0,0";"0,0";"0,0";"0,0";"0,0"
1998;4;"1162416,3921173";"73983,4035772001";"249150,3659353";"157,873349";"0,0";"0,0";"0,0";"0,0"
1998;5;"219644,713348";"102875,252029";"135713,50272";"1192,5607585";"0,0";"0,0";"0,0";"0,0"
1998;6;"321940,7100111";"124614,8138059";"655465,1779909";"1889,3172179";"0,0";"0,0";"0,0";"0,0"
1998;7;"711634,5051019";"136383,0756017";"73666,14315";"6700,2750574";"0,0";"0,0";"0,0";"0,0"
1998;8;"920244,214032";"119248,7419326";"62510,2444273";"3041,6576335";"0,0";"0,0";"0,0";"0,0"
1998;9;"657990,4967872";"118902,8105948";"340320,4396132";"2470,0656319";"0,0";"0,0";"0,0";"0,0"
1998;10;"379088,4258922";"77989,7134647";"72741,5741306";"1213,7007711";"0,0";"0,0";"0,0";"0,0"
1998;11;"321809,1967663";"167153,0695472";"108854,42681";"1731,9931094";"0,0";"0,0";"0,0";"0,0"
1998;12;"493210,7321293";"134212,0789886";"45180,3601";"2581,4783246";"0,0";"0,0";"0,0";"0,0"
1999;1;"147849,4959457";"67706,2933714";"488,65441";"360,9855385";"0,0";"0,0";"0,0";"0,0"
1999;2;"117006,2253099";"110287,6904533";"115837,6894304";"1843,1521212";"0,0";"0,0";"0,0";"0,0"
1999;3;"203710,9308131";"146236,9038253";"66630,7870087";"2270,8509062";"0,0";"0,0";"0,0";"0,0"
1999;4;"122806,7619051";"97722,3320998001";"13162,61217";"521,1696615";"0,0";"0,0";"0,0";"0,0"
1999;5;"173131,9560535";"78363,9281653";"59015,564105";"1428,5059509";"0,0";"0,0";"0,0";"0,0"
1999;6;"333499,8165679";"70991,7382876";"31575,91938";"1685,93604";"0,0";"0,0";"0,0";"0,0"
1999;7;"172936,4062365";"107290,1400397";"31225,6178308";"5004,4189605";"0,0";"0,0";"0,0";"0,0"
1999;8;"231088,2274062";"109824,9725661";"152644,49739";"1609,7706948";"0,0";"0,0";"0,0";"0,0"
1999;9;"211858,6275533";"135337,6350807";"3741,4015";"1889,8088573";"0,0";"0,0";"0,0";"0,0"
1999;10;"191356,0344651";"155826,0861908";"103046,8824944";"2566,2489909";"0,0";"0,0";"0,0";"0,0"
1999;11;"460371,5368527";"102274,1631319";"35828,7091541";"1803,1735131";"0,0";"0,0";"0,0";"0,0"
1999;12;"424084,6327386";"110820,2405361";"245202,7805381";"6455,6739502";"0,0";"0,0";"0,0";"0,0"
2000;1;"96811,4238072";"75018,5189636";"57049,83054";"1003,5839293";"0,0";"0,0";"0,0";"0,0"
2000;2;"190234,8128927";"119265,178366";"30610,230097";"1699,5033719";"0,0";"0,0";"0,0";"0,0"
2000;3;"295154,4039195";"90511,361025";"30175,7192821";"4938,3264257";"0,0";"0,0";"0,0";"0,0"
2000;4;"100756,4039746";"53963,3429211";"4080,81271";"2137,9867907";"0,0";"0,0";"0,0";"0,0"
2000;5;"140461,7161609";"88929,123386";"21976,14477";"2077,9108097";"0,0";"0,0";"0,0";"0,0"
2000;6;"181056,0946143";"110504,4298356";"41928,75502";"6031,6871276";"0,0";"0,0";"0,0";"0,0"
2000;7;"246881,9107487";"96178,6988534";"812906,8082412";"6178,1140254";"0,0";"0,0";"0,0";"0,0"
2000;8;"135883,9317722";"79963,4446704";"34157,13379";"5744,2188956";"0,0";"0,0";"0,0";"0,0"
2000;9;"189609,1861316";"90401,4005139";"5822,48048";"4122,1373095";"0,0";"0,0";"0,0";"0,0"
2000;10;"374433,4165578";"393750,1149181";"24144,43584";"600,7613917";"0,0";"0,0";"0,0";"0,0"
2000;11;"495768,021143";"509254,4827125";"12688,03919";"8527,6304528";"0,0";"0,0";"0,0";"0,0"
2000;12;"519465,9763602";"123890,5993883";"23289,8351412";"3698,3472266";"0,0";"0,0";"0,0";"0,0"
2001;1;"85814,99523";"149161,6316382";"154529,17757";"1255,1554537";"0,0";"0,0";"0,0";"0,0"
2001;2;"93288,9752455001";"111193,0408466";"3903,70599";"1767,6274122";"0,0";"0,0";"0,0";"0,0"
2001;3;"172307,6445954";"169215,9501258";"214032,08072";"1097,2930166";"0,0";"0,0";"0,0";"0,0"
2001;4;"87725,9700203";"163900,3585436";"4193,35321";"1467,9249698";"0,0";"0,0";"0,0";"0,0"
2001;5;"159341,9882163";"164316,2573079";"990,71153";"2073,6080486";"0,0";"0,0";"0,0";"0,0"
2001;6;"358273,4926346";"121521,5686669";"13210,0168145";"789,1012613";"0,0";"0,0";"0,0";"0,0"
2001;7;"109043,2766838";"31792,8874793";"9956,3449251";"714,443218";"0,0";"0,0";"0,0";"0,0"
2001;8;"448284,6537497";"141061,0254902";"10237,98263";"1921,9485979";"0,0";"0,0";"0,0";"0,0"
2001;9;"187757,3131041";"96420,8544237";"252,47842";"1947,7391229";"0,0";"0,0";"0,0";"0,0"
2001;10;"198087,5263118";"217176,0277681";"7359,504153";"3456,5248866";"0,0";"0,0";"0,0";"0,0"
2001;11;"385358,3497356";"78124,7098579";"4428,423097";"1651,9349399";"0,0";"0,0";"0,0";"0,0"
2001;12;"545281,3729065";"242130,9636703";"47174,62687";"3669,5431721";"0,0";"0,0";"0,0";"0,0"
2002;1;"148714,7890173";"188070,3044565";"27173,99713";"1025,5613938";"0,0";"0,0";"0,0";"0,0"
2002;2;"655477,5791987";"134475,9691937";"7949,28274";"1817,6813352";"0,0";"0,0";"0,0";"0,0"
2002;3;"241726,5532897";"85962,4076269";"8278,5663";"2672,9339463";"0,0";"0,0";"0,0";"0,0"
2002;4;"160838,5227115";"182013,9155556";"1854,33873";"1256,7085457";"0,0";"0,0";"0,0";"0,0"
2002;5;"300150,457001";"362211,1118299";"1179,93807";"4297,415638";"0,0";"0,0";"0,0";"0,0"
2002;6;"115581,9190848";"597429,8925263";"18522,41119";"1521,2505815";"0,0";"0,0";"0,0";"0,0"
2002;7;"258044,5022491";"364249,0615172";"15998,327463";"4525,1565999";"0,0";"0,0";"0,0";"0,0"
2002;8;"786095,4838738";"258311,7698329";"79690,99314";"1101,6854342";"0,0";"0,0";"0,0";"0,0"
2002;9;"470905,0378317";"119425,0840177";"959,52069";"533,4756053";"0,0";"0,0";"0,0";"0,0"
2002;10;"346069,8788809";"197148,3584444";"12051,9532465";"2691,9929289";"0,0";"0,0";"0,0";"0,0"
2002;11;"426848,0972631";"110085,7833422";"19354,36599";"1462,0077117";"0,0";"0,0";"0,0";"0,0"
2002;12;"517382,6415171";"122250,4698392";"68409,09444";"2717,3559406";"0,0";"0,0";"0,0";"0,0"
2003;1;"83409,2331535";"159277,390391";"1737,015506";"611,3512451";"0,0";"0,0";"0,0";"0,0"
2003;2;"159245,7478474";"69311,8318314";"76829,9000715";"1515,1468981";"0,0";"0,0";"0,0";"0,0"
2003;3;"89144,3602422";"65772,7595705";"20442,3261814";"463,7704861";"0,0";"0,0";"0,0";"0,0"
2003;4;"132180,5530067";"45006,8148971";"6913,8757026";"2394,1592919";"0,0";"0,0";"0,0";"0,0"
2003;5;"131033,0707683";"59071,897595";"3320,0678308";"2786,3869873";"0,0";"0,0";"0,0";"0,0"
2003;6;"178796,7185244";"507918,6529389";"9457,4341872";"3526,7068995";"0,0";"0,0";"0,0";"0,0"
2003;7;"552734,5372873";"57702,1213407";"5552,1790035";"2001,4630297";"0,0";"0,0";"0,0";"0,0"
2003;8;"134621,6660554";"50027,5403046";"2684,478434";"1397,8323857";"0,0";"0,0";"0,0";"0,0"
2003;9;"136940,2495059";"59782,8860012";"37220,0665139";"2583,7380495";"0,0";"0,0";"0,0";"0,0"
2003;10;"147814,9922698";"143886,8476628";"107630,9897969";"2443,466341";"0,0";"0,0";"0,0";"0,0"
2003;11;"345576,8486642";"561730,9883107";"2853,3203917";"1745,1195736";"0,0";"0,0";"0,0";"0,0"
2003;12;"578837,5871797";"331261,438234";"35337,9702388";"2107,2733414";"0,0";"0,0";"0,0";"0,0"
2004;1;"100189,4111479";"69051,4452991";"1084,58532";"1670,4949366";"0,0";"0,0";"0,0";"0,0"
2004;2;"110187,2563145";"148172,3131872";"984,84649";"1884,6034065";"0,0";"0,0";"0,0";"0,0"
2004;3;"339349,9262152";"292011,2422435";"990,8492";"1738,5516234";"0,0";"0,0";"0,0";"0,0"
2004;4;"498281,9033655";"82378,1230187";"15138,51386";"1686,4195616";"0,0";"7781,49907";"0,0";"0,0"
2004;5;"170551,487066";"65229,534868";"659,86484";"721,5343563";"0,0";"0,0";"0,0";"0,0"
2004;6;"436747,8131223";"283695,5971613";"59658,5905028";"841,5174414";"0,0";"0,0";"0,0";"0,0"
2004;7;"283679,2135291";"149721,0307566";"23147,2786229";"877,3385014";"0,0";"0,0";"0,0";"0,0"
2004;8;"444305,9474308";"74171,488002";"48328,2440281";"482,7590833";"0,0";"0,0";"0,0";"0,0"
2004;9;"564684,5230795";"84085,5672838";"7709,90442";"551,3238048";"0,0";"0,0";"0,0";"0,0"
2004;10;"395864,2298764";"112669,8597305";"2605,53528";"1812,6322494";"0,0";"0,0";"0,0";"0,0"
2004;11;"235157,1745646";"63102,6810133";"19082,7176018";"1647,7887039";"0,0";"0,0";"0,0";"0,0"
2004;12;"326894,6455438";"520131,7576269";"25617,72785";"3048,3620111";"0,0";"0,0";"0,0";"0,0"
2005;1;"204721,6167132";"577701,0982971";"4498,71509";"279,1129955";"0,0";"0,0";"0,0";"0,0"
2005;2;"238336,3318801";"67833,6137743";"102038,4457762";"1126,8840449";"0,0";"0,0";"0,0";"0,0"
2005;3;"278521,7460749";"303683,307995";"2601,00857";"480,988684";"0,0";"0,0";"0,0";"0,0"
2005;4;"205198,3112602";"117388,6162645";"52592,80222";"446,0209197";"0,0";"0,0";"0,0";"0,0"
2005;5;"290707,7677638";"113444,9439411";"73834,51487";"2896,3228992";"0,0";"0,0";"0,0";"0,0"
2005;6;"463536,6995298";"158612,4163";"4725,779743";"1996,9408786";"0,0";"0,0";"0,0";"0,0"
2005;7;"452169,5387712";"118742,4842747";"513928,9925822";"2340,8732214";"0,0";"0,0";"0,0";"0,0"
2005;8;"706966,2351218";"150226,8393227";"8918,62161";"2066,3808891";"0,0";"0,0";"0,0";"0,0"
2005;9;"316584,627052";"45439,7619752";"2385,33121";"4424,7347383";"0,0";"0,0";"0,0";"0,0"
2005;10;"332310,3849487";"42556,2191794";"44093,13231";"804,344282";"0,0";"0,0";"0,0";"0,0"
2005;11;"569066,8594167";"996906,0666841";"6743,65352";"3112,2270086";"0,0";"0,0";"0,0";"0,0"
2005;12;"1526286,7415202";"45922,1388675";"23549,5695773";"5602,460529";"0,0";"0,0";"0,0";"0,0"
2006;1;"210872,2110151";"31427,4150144";"50522,32698";"4733,5308539";"0,0";"0,0";"0,0";"0,0"
2006;2;"178593,5801486";"19863,8540219";"1797,422";"1620,3853638";"0,0";"0,0";"0,0";"0,0"
2006;3;"291308,5089327";"96632,290797";"9994,09385";"957,3744543";"0,0";"0,0";"0,0";"0,0"
2006;4;"336641,5153445";"675812,4358578";"32961,9513728";"869,3596127";"0,0";"0,0";"0,0";"0,0"
2006;5;"370161,7239432";"50974,0141296";"7303,38913";"3262,7197877";"0,0";"0,0";"0,0";"0,0"
2006;6;"537404,0213056";"85952,4635151";"93461,8031";"7653,7623526";"0,0";"0,0";"0,0";"0,0"
2006;7;"480510,428311";"654227,7950508";"21920,57671";"2504,8532323";"0,0";"0,0";"0,0";"0,0"
2006;8;"447165,4164027";"28541,1012427";"287920,6409575";"1110,4535297";"0,0";"0,0";"0,0";"0,0"
2006;9;"371041,0519701";"36742,1856838";"348432,6973468";"3902,340067";"0,0";"0,0";"0,0";"0,0"
2006;10;"614619,4483517";"69993,9097318";"91734,8535816";"6117,4241482";"0,0";"0,0";"0,0";"0,0"
2006;11;"1278171,8450441";"23180,6221451";"15696,32009";"2862,271976";"0,0";"0,0";"0,0";"0,0"
2006;12;"1593572,8196534";"91535,5751352";"612462,3372751";"4682,5467965";"0,0";"0,0";"0,0";"0,0"
2007;1;"1164369,190162";"42784,2274943";"9762,1924784";"1188,7418758";"0,0";"0,0";"0,0";"0,0"
2007;2;"294441,1714428";"7773,1809956";"35354,3738151";"1600,8984458";"0,0";"0,0";"0,0";"0,0"
2007;3;"539184,8828507";"38648,6162547";"85689,5137288";"3400,4711184";"0,0";"0,0";"0,0";"0,0"
2007;4;"339614,2622031";"6143,7236878";"91008,4846847";"1423,9330926";"0,0";"0,0";"0,0";"0,0"
2007;5;"333630,7372794";"23409,0918265";"30437,5949609";"2927,3540698";"0,0";"0,0";"0,0";"0,0"
2007;6;"622663,2295579";"3726,2730037";"72988,1619253";"2261,3109615";"0,0";"0,0";"0,0";"0,0"
2007;7;"819834,0218976";"24083,0690148";"697511,51047";"1696,8429704";"0,0";"0,0";"0,0";"0,0"
2007;8;"1443250,194061";"39294,5328621";"66915,7454099";"3060,5235241";"0,0";"0,0";"0,0";"0,0"
2007;9;"1003757,939397";"227899,1769238";"70139,0969983";"1903,0506959";"0,0";"0,0";"0,0";"0,0"
2007;10;"2097193,4733189";"31009,5243728";"35565,07307";"2587,5443144";"0,0";"0,0";"0,0";"0,0"
2007;11;"1220597,8436702";"81214,8268288";"53848,300575";"2159,7347995";"0,0";"0,0";"0,0";"0,0"
2007;12;"1707457,0114734";"177278,7043975";"602307,3532157";"8463,4361711";"0,0";"0,0";"0,0";"0,0"
2008;1;"530725,2459648";"36907,3833746";"105719,9927168";"1869,4889333";"0,0";"0,0";"0,0";"0,0"
2008;2;"900965,9614513";"76733,8935249";"75427,87575";"3044,2941792";"0,0";"0,0";"0,0";"0,0"
2008;3;"1684473,8867865";"131624,5728715";"8253,81162";"1841,2605218";"0,0";"0,0";"0,0";"0,0"
2008;4;"1298012,3406218";"115556,709308";"2221311,1133837";"6296,4642586";"0,0";"0,0";"0,0";"0,0"
2008;5;"1138262,7949443";"69418,0190481";"429580,6255732";"8371,8920354";"0,0";"0,0";"0,0";"0,0"
2008;6;"853713,0531642";"247665,2637688";"285442,6969211";"9908,8127251";"0,0";"0,0";"0,0";"0,0"
2008;7;"805834,7006386";"123400,2712171";"1205062,3971224";"2913,4243209";"0,0";"0,0";"0,0";"0,0"
2008;8;"1506671,9333444";"132480,1824786";"327400,1061408";"6719,7868616";"0,0";"0,0";"0,0";"0,0"
2008;9;"963000,661446901";"67421,905088";"562053,8112236";"898,1006661";"0,0";"0,0";"0,0";"0,0"
2008;10;"2145125,1494588";"139475,1239035";"139819,3116101";"9754,6599399";"0,0";"0,0";"0,0";"0,0"
2008;11;"1263265,7111454";"103779,5585549";"118730,25794";"2928,5791955";"0,0";"0,0";"0,0";"0,0"
2008;12;"1939037,0866486";"449072,3716755";"500376,6853694";"3318,3326711";"0,0";"0,0";"0,0";"0,0"
2009;1;"622920,697893";"102151,740143";"12308,19978";"2995,2951428";"0,0";"0,0";"0,0";"0,0"
2009;2;"789641,2328821";"205254,1271233";"8895,2483106";"6523,5620156";"0,0";"0,0";"0,0";"0,0"
