"ano";"mes";"bndes_finem";"bndes_exim";"bndes_nao_reembolsavel";"bndes_automatico";"bndes_finame"
1995;1;"6,39369953";"2,67221816";"0,0";"32,56114886";"205,056170520001"
1995;2;"12,02060396";"5,94644162";"0,0";"47,16676115";"146,981786439999"
1995;3;"20,71448506";"1,121965";"0,0";"76,1848557899999";"272,685349720007"
1995;4;"17,35780014";"1,067234";"0,0";"59,80731275";"232,545589310003"
1995;5;"24,02016146";"1,570833";"0,0";"76,4749162000001";"334,936998800007"
1995;6;"18,66761079";"3,83884379";"0,0";"70,80111156";"307,725870970006"
1995;7;"40,67747236";"2,67919727";"0,0";"84,05084037";"287,236389890006"
1995;8;"42,27872981";"2,58714948";"0,0";"77,09908706";"272,879651360004"
1995;9;"36,28114254";"4,39463677";"0,0";"76,7627498600001";"230,356777490002"
1995;10;"31,43174205";"27,76611718";"0,0";"84,5150104999999";"257,550315560004"
1995;11;"48,46194409";"13,4001705";"0,0";"90,38358353";"265,996660730003"
1995;12;"92,9661542700001";"18,77080409";"0,0";"103,73008487";"225,380950530002"
1996;1;"32,69752931";"11,68522842";"0,0";"65,41700204";"158,24798633"
1996;2;"66,92876038";"4,82769808";"0,0";"51,6539590900001";"144,629224339999"
1996;3;"64,38492766";"8,59456044";"0,0";"149,87649799";"274,402003100004"
1996;4;"50,80019243";"6,37549069";"0,0";"88,95449001";"192,650457220001"
1996;5;"34,13955805";"7,02604341";"0,0";"127,59419696";"200,912328270001"
1996;6;"70,49547538";"15,28912826";"0,0";"109,25728873";"180,613672660001"
1996;7;"67,08714011";"8,87801495";"0,0";"136,70703841";"198,761387580001"
1996;8;"55,09770417";"1,08531474";"0,0";"116,16491597";"224,128522310001"
1996;9;"40,58359897";"6,21682664";"0,0";"137,07844189";"219,473706160002"
1996;10;"28,16991158";"10,32748984";"0,0";"118,85041302";"172,628790930001"
1996;11;"60,6860523";"3,90943868";"0,0";"94,5629585600001";"165,921536080001"
1996;12;"123,94613915";"2,02937435";"0,0";"170,12820399";"206,022857500002"
1997;1;"34,849854";"73,045";"0,0";"90,41924991";"144,450036619999"
1997;2;"35,84762185";"0,56325295";"0,0";"109,0057991";"108,674133489999"
1997;3;"25,3964815";"0,0";"0,0";"117,04981965";"164,571389409999"
1997;4;"72,56436354";"30,19383607";"0,0";"145,73759963";"218,780858620001"
1997;5;"31,44556329";"11,69915042";"0,0";"184,38653645";"217,312217020001"
