"tipo";"nome_agente_financeiro";"2020";"2019";"2018";"2017";"2016";"2015";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007";"2006";"2005";"2004";"2003";"2002";"2001";"2000";"1999";"1998";"1997";"1996";"1995"
"Agente Público";"AF PARANA   ";"132,90569924";"33,3672209";"65,70469171";"46,7455576";"42,88063441";"25,7642672";"28,25006577";"5,92186268";"0,188109";"0,1155";"0,46";"0,0";"0,0";"0,0";"0,654114";"2,61637";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AF-RN       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,50640512";"3,86606494";"7,81972758";"0,74834688";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AF-TO       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,35774999";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AFEAM       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"6,77022084";"19,96606653";"17,93290174";"9,756";"0,38523906";"2,13284878";"0,31315843";"2,0793652";"1,355459";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AGEFEPE     ";"0,0";"0,0";"0,0";"1,373094";"2,626906";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AGERIO      ";"0,0";"0,0";"0,0";"0,0";"8,06112916";"24,41168368";"25,97972842";"14,81066185";"19,50645549";"12,64102093";"23,20746065";"0,61508298";"0,0";"0,0";"0,213";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"BADESC      ";"15,947563";"21,17372311";"31,55069481";"27,19661544";"40,16483537";"95,28191963";"98,65337245";"145,02290873";"91,67761884";"33,45355625";"69,21502759";"32,06866117";"13,06711822";"0,0";"0,0";"2,90126833";"63,47523852";"141,00768873";"173,56351155";"109,15341401";"73,39178695";"52,5119642";"61,86182874";"65,75814632";"25,85320869";"46,15775975"
"Agente Público";"BADESUL     ";"221,88694619";"140,867654";"118,6546804";"102,07975774";"176,633349";"608,74788788";"717,39721304";"1488,52273319";"726,916055540001";"434,38772606";"588,74671819";"433,70471372";"150,37956951";"208,07353613";"144,33956273";"191,84555563";"141,36908501";"163,93031436";"138,04844379";"160,8067008";"105,19969524";"94,93817396";"63,54023383";"15,16734594";"1,69039088";"0,66085013"
"Agente Público";"BANDES      ";"0,92087";"8,09990208";"41,214298";"56,272554";"115,865235";"77,16809617";"80,34136699";"171,07700502";"215,41533035";"151,30179345";"151,1983671";"84,38666941";"68,66528947";"65,05261655";"72,54073943";"34,68352049";"32,43685345";"12,8264344";"11,15519932";"12,15716952";"19,48758066";"11,99901192";"7,95130781";"19,68579815";"21,3952957";"17,29593913"
"Agente Público";"BANER       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,08494962";"1,4332321"
