"ano";"bndes_finem";"bndes_exim";"bndes_mercado_de_capitais";"bndes_nao_reembolsavel";"bndes_microcredito";"bndes_prestacao_de_garantia";"bndes_finame";"bndes_medias_empresas"
1995;301;1055;44;6;"0,0";"0,0";"0,0";"0,0"
1996;424;1190;46;1;"0,0";"0,0";"0,0";"0,0"
1997;540;1072;55;43;"0,0";"1,0";"0,0";"0,0"
1998;549;1328;48;33;"0,0";"0,0";"0,0";"0,0"
1999;492;1022;46;81;"0,0";"0,0";"0,0";"0,0"
2000;519;675;52;110;"0,0";"0,0";"0,0";"0,0"
2001;556;429;32;108;"0,0";"0,0";"0,0";"0,0"
2002;789;280;32;86;"0,0";"0,0";"0,0";"0,0"
2003;738;185;25;121;"0,0";"0,0";"0,0";"0,0"
2004;706;208;20;121;"0,0";"2,0";"0,0";"0,0"
2005;790;196;31;118;"0,0";"0,0";"0,0";"0,0"
2006;836;103;50;122;"0,0";"0,0";"0,0";"0,0"
2007;1028;77;78;104;"0,0";"0,0";"0,0";"0,0"
2008;1139;290;87;152;"0,0";"0,0";"0,0";"0,0"
2009;1439;468;106;181;"0,0";"0,0";"0,0";"0,0"
2010;1746;333;117;267;"0,0";"0,0";"0,0";"0,0"
2011;2099;465;75;260;"0,0";"0,0";"0,0";"0,0"
2012;2141;621;99;238;"0,0";"0,0";"0,0";"0,0"
2013;2204;410;87;218;"0,0";"0,0";"0,0";"0,0"
2014;2103;360;76;252;"5,0";"0,0";"0,0";"0,0"
2015;2070;172;67;200;"13,0";"0,0";"0,0";"0,0"
2016;1492;184;72;181;"9,0";"0,0";"0,0";"0,0"
2017;1164;235;49;160;"8,0";"0,0";"0,0";"0,0"
2018;1080;225;41;148;"11,0";"0,0";"2,0";"0,0"
2019;763;213;42;104;"7,0";"0,0";"8,0";"0,0"
2020;630;136;39;91;"7,0";"0,0";"139,0";"6,0"
