"tipo";"nome_agente_financeiro";"2020";"2019";"2018";"2017";"2016";"2015";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007";"2006";"2005";"2004";"2003";"2002";"2001";"2000";"1999";"1998";"1997";"1996";"1995"
"Agente Público";"AF PARANA   ";"1204,0";"188,0";"157,0";"130,0";"100,0";"54,0";"28,0";"9,0";"6,0";"2,0";"2,0";"0,0";"0,0";"0,0";"11,0";"15,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AF-RN       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"4,0";"17,0";"52,0";"10,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AF-TO       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"7,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AFEAM       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"8,0";"15,0";"8,0";"3,0";"3,0";"4,0";"2,0";"5,0";"3,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AGEFEPE     ";"0,0";"0,0";"0,0";"1,0";"1,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"AGERIO      ";"0,0";"0,0";"0,0";"0,0";"6,0";"14,0";"14,0";"14,0";"35,0";"40,0";"15,0";"1,0";"0,0";"0,0";"1,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"BADESC      ";"43,0";"90,0";"83,0";"165,0";"94,0";"126,0";"232,0";"158,0";"104,0";"38,0";"63,0";"60,0";"10,0";"0,0";"0,0";"27,0";"273,0";"546,0";"740,0";"519,0";"415,0";"283,0";"247,0";"312,0";"60,0";"263,0"
"Agente Público";"BADESUL     ";"237,0";"204,0";"115,0";"94,0";"297,0";"1031,0";"1073,0";"2719,0";"1030,0";"1093,0";"1169,0";"553,0";"499,0";"1057,0";"782,0";"856,0";"1038,0";"2363,0";"2562,0";"2489,0";"777,0";"460,0";"210,0";"208,0";"25,0";"3,0"
"Agente Público";"BANDES      ";"3,0";"139,0";"611,0";"828,0";"2248,0";"1662,0";"1963,0";"4402,0";"5867,0";"4357,0";"4480,0";"2978,0";"2749,0";"3360,0";"2381,0";"1169,0";"1101,0";"496,0";"620,0";"233,0";"561,0";"102,0";"94,0";"317,0";"203,0";"103,0"
"Agente Público";"BANER       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"7,0"
"Agente Público";"BANESE      ";"13,0";"0,0";"0,0";"0,0";"1,0";"10,0";"15,0";"9,0";"10,0";"27,0";"27,0";"4,0";"11,0";"9,0";"18,0";"15,0";"4,0";"8,0";"20,0";"25,0";"24,0";"15,0";"37,0";"32,0";"34,0";"28,0"
"Agente Público";"BANESTES    ";"932,0";"1260,0";"1427,0";"1069,0";"147,0";"56,0";"150,0";"232,0";"124,0";"101,0";"161,0";"54,0";"118,0";"75,0";"43,0";"0,0";"0,0";"1,0";"6,0";"24,0";"47,0";"11,0";"33,0";"18,0";"153,0";"381,0"
"Agente Público";"BANPARA     ";"2,0";"0,0";"1,0";"0,0";"0,0";"0,0";"1,0";"3,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"4,0";"5,0"
"Agente Público";"BANRISUL BM ";"3064,0";"4805,0";"5188,0";"6665,0";"18415,0";"30139,0";"28812,0";"22869,0";"13769,0";"4291,0";"2517,0";"2751,0";"1744,0";"1496,0";"1530,0";"1186,0";"2248,0";"163,0";"13600,0";"8372,0";"11969,0";"8255,0";"1385,0";"1924,0";"975,0";"947,0"
"Agente Público";"BASA        ";"48,0";"50,0";"104,0";"102,0";"117,0";"157,0";"123,0";"75,0";"20,0";"24,0";"41,0";"27,0";"57,0";"223,0";"274,0";"451,0";"508,0";"244,0";"179,0";"200,0";"62,0";"4,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"BB          ";"2394,0";"4967,0";"6706,0";"38898,0";"238863,0";"502341,0";"607291,0";"627891,0";"547677,0";"386166,0";"241438,0";"126779,0";"43965,0";"32717,0";"20222,0";"35824,0";"44764,0";"17995,0";"23659,0";"60004,0";"23264,0";"13929,0";"10696,0";"24384,0";"9387,0";"19385,0"
"Agente Público";"BB LS       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"7,0";"12,0";"5,0";"25,0";"19,0";"19,0";"17,0";"18,0";"43,0";"72,0";"48,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"BDMG        ";"146,0";"375,0";"464,0";"582,0";"1040,0";"1048,0";"1433,0";"1048,0";"494,0";"473,0";"444,0";"241,0";"283,0";"354,0";"259,0";"381,0";"489,0";"432,0";"388,0";"511,0";"609,0";"865,0";"1456,0";"480,0";"159,0";"172,0"
"Agente Público";"BEMAT       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"15,0";"17,0"
"Agente Público";"BNB         ";"2,0";"13,0";"16,0";"74,0";"54,0";"15,0";"24,0";"47,0";"47,0";"610,0";"721,0";"19,0";"8,0";"1,0";"2,0";"5,0";"29,0";"370,0";"989,0";"9074,0";"13124,0";"5395,0";"4362,0";"2691,0";"618,0";"499,0"
"Agente Público";"BRB BM      ";"82,0";"0,0";"0,0";"1,0";"17,0";"61,0";"112,0";"114,0";"47,0";"23,0";"20,0";"8,0";"0,0";"0,0";"0,0";"0,0";"8,0";"17,0";"26,0";"58,0";"98,0";"58,0";"52,0";"86,0";"105,0";"176,0"
"Agente Público";"BRDE        ";"3122,0";"3753,0";"4903,0";"5792,0";"8227,0";"7742,0";"8867,0";"10941,0";"6172,0";"5764,0";"5004,0";"7454,0";"4110,0";"9845,0";"7868,0";"5874,0";"5684,0";"4212,0";"6800,0";"3876,0";"887,0";"1089,0";"1824,0";"4578,0";"2513,0";"2459,0"
"Agente Público";"CAIXA CEF   ";"8598,0";"35913,0";"41472,0";"61155,0";"69647,0";"108852,0";"76156,0";"35318,0";"27797,0";"23335,0";"18125,0";"8296,0";"4259,0";"4766,0";"2836,0";"1594,0";"574,0";"564,0";"752,0";"535,0";"54,0";"16,0";"1,0";"0,0";"0,0";"0,0"
"Agente Público";"DESENBAHIA  ";"139,0";"62,0";"139,0";"109,0";"121,0";"121,0";"148,0";"157,0";"254,0";"49,0";"60,0";"35,0";"146,0";"326,0";"150,0";"151,0";"223,0";"224,0";"322,0";"114,0";"118,0";"100,0";"94,0";"191,0";"240,0";"247,0"
"Agente Público";"DESENVOLVE S";"1026,0";"523,0";"623,0";"382,0";"116,0";"106,0";"135,0";"151,0";"137,0";"167,0";"200,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Público";"FINEP       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"4,0";"4,0";"8,0";"2,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"0,0";"5,0";"17,0";"49,0";"52,0";"0,0";"0,0";"0,0"
"Agente Público";"GOIASFOMENTO";"0,0";"0,0";"0,0";"2,0";"3,0";"8,0";"16,0";"8,0";"3,0";"0,0";"0,0";"0,0";"1,0";"1,0";"1,0";"0,0";"0,0";"0,0";"0,0";"1,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"ABC BR BM   ";"267,0";"442,0";"325,0";"310,0";"375,0";"385,0";"475,0";"974,0";"1050,0";"995,0";"939,0";"535,0";"377,0";"293,0";"603,0";"377,0";"159,0";"62,0";"189,0";"342,0";"279,0";"589,0";"49,0";"5,0";"3,0";"1,0"
"Agente Privado";"AILOS       ";"12,0";"0,0";"0,0";"3,0";"3,0";"1,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"ALFA BI     ";"60,0";"91,0";"179,0";"313,0";"467,0";"400,0";"559,0";"531,0";"371,0";"753,0";"186,0";"165,0";"564,0";"232,0";"279,0";"444,0";"145,0";"113,0";"131,0";"231,0";"164,0";"105,0";"424,0";"225,0";"140,0";"272,0"
"Agente Privado";"ALFA CFI    ";"11,0";"0,0";"3,0";"4,0";"4,0";"117,0";"122,0";"70,0";"49,0";"101,0";"190,0";"68,0";"626,0";"320,0";"249,0";"44,0";"25,0";"58,0";"97,0";"103,0";"60,0";"7,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"ALFA LEASING";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"9,0";"4,0";"32,0";"0,0";"0,0";"0,0"
"Agente Privado";"ARAUCARIA BC";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"5,0";"3,0";"3,0";"6,0";"32,0";"17,0"
"Agente Privado";"ARBI BM     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,0";"10,0";"22,0";"4,0";"0,0";"1,0";"0,0";"0,0";"2,0";"1,0";"1,0"
"Agente Privado";"BANCESA     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0"
"Agente Privado";"BANCIDADE AM";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"6,0";"6,0";"0,0";"4,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BANCO NACOES";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"4,0";"20,0";"10,0";"42,0";"34,0"
"Agente Privado";"BANCO NEON  ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"5,0";"2,0";"4,0";"3,0";"3,0";"2,0";"5,0";"8,0";"0,0"
"Agente Privado";"BANCOOB     ";"9307,0";"9904,0";"9994,0";"10687,0";"10027,0";"8945,0";"13515,0";"19351,0";"11012,0";"11975,0";"10548,0";"29424,0";"2545,0";"14487,0";"1793,0";"1749,0";"1743,0";"1702,0";"2407,0";"1637,0";"997,0";"642,0";"2,0";"0,0";"0,0";"0,0"
