uf;porte_do_cliente;setor_bndes;produto;ano;;valor_desembolsado_reais
 AC;GRANDE;AGROPECUÁRIA;BNDES FINAME;2007;count;1.0
 AC;GRANDE;AGROPECUÁRIA;BNDES FINAME;2007;sum;180000.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2007;count;1.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2007;sum;955926.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;count;3.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;sum;897295.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;count;2.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;sum;4275000.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;count;1.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;sum;47200.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;count;3.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;sum;352160.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;count;8.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;sum;5367052.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2008;count;1.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2008;sum;117352.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2009;count;1.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2009;sum;98400.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2010;count;3.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2010;sum;421520.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2011;count;1.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2011;sum;2365800.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2012;count;6.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2012;sum;1126042.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2013;count;9.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2013;sum;2565792.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2014;count;12.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2014;sum;2366189.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2015;count;8.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2015;sum;323378.0
 AC;GRANDE;COMÉRCIO E SERVIÇOS;BNDES FINAME;2016;count;2.0
