secao;titulo;Descrição;link arquivo;pasta;subpasta;arquivo
Balanço Patrimonial do BNDES;Balanço Patrimonial em BRGAAP 03/2020;Balanço Patrimonial Consolidado e Individualizado do BNDES no padrão BRGAAP, posição de 03/20 (valores em milhares de reais);./data/balanco-patrimonial/balanco-patrimonial-em-brgaap-03-2020.csv;data;balanco-patrimonial;balanco-patrimonial-em-brgaap-03-2020.csv
Balanço Patrimonial do BNDES;Balanço Patrimonial em BRGAAP 06/2020;Balanço Patrimonial Consolidado e Individualizado do BNDES no padrão BRGAAP, posição de 06/20 (valores em milhares de reais);./data/balanco-patrimonial/balanco-patrimonial-em-brgaap-06-2020.csv;data;balanco-patrimonial;balanco-patrimonial-em-brgaap-06-2020.csv
Balanço Patrimonial do BNDES;Balanço Patrimonial em BRGAAP 09/2020;Balanço Patrimonial Consolidado e Individualizado do BNDES no padrão BRGAAP, posição de 09/20 (valores em milhares de reais);./data/balanco-patrimonial/balanco-patrimonial-em-brgaap-09-2020.csv;data;balanco-patrimonial;balanco-patrimonial-em-brgaap-09-2020.csv
Balanço Patrimonial do BNDES;Balanço Patrimonial em BRGAAP 12/2020;Balanço Patrimonial Consolidado e Individualizado do BNDES no padrão BRGAAP, posição de 12/20 (valores em milhares de reais);./data/balanco-patrimonial/balanco-patrimonial-em-brgaap-12-2020.csv;data;balanco-patrimonial;balanco-patrimonial-em-brgaap-12-2020.csv
Balanço Patrimonial do BNDES;Balanço Patrimonial em IFRS 12/2020;Balanço Patrimonial Consolidado e Individualizado do BNDES no padrão IFRS, posição de 12/20 (valores em milhares de reais);./data/balanco-patrimonial/balanco-patrimonial-em-ifrs-12-2020.csv;data;balanco-patrimonial;balanco-patrimonial-em-ifrs-12-2020.csv
Balanço Patrimonial do BNDES;Balanço Patrimonial do Conglomerado Prudencial 06/2020;Balanço Patrimonial Consolidado e Individualizado do BNDES do Conglomerado Prudencial, posição de 06/20 (valores em milhares de reais);./data/balanco-patrimonial/balanco-patrimonial-do-conglomerado-prudencial-06-2020.csv;data;balanco-patrimonial;balanco-patrimonial-do-conglomerado-prudencial-06-2020.csv
Balanço Patrimonial do BNDES;Balanço Patrimonial do Conglomerado Prudencial 12/2020;Balanço Patrimonial Consolidado e Individualizado do BNDES do Conglomerado Prudencial, posição de 12/20 (valores em milhares de reais);./data/balanco-patrimonial/balanco-patrimonial-do-conglomerado-prudencial-12-2020.csv;data;balanco-patrimonial;balanco-patrimonial-do-conglomerado-prudencial-12-2020.csv
Desembolsos mensais;Desembolsos Mensais;Detalhamento de desembolsos mensais do Sistema BNDES a partir de 1995.;./data/desembolsos-mensais/desembolsos-mensais.csv;data;desembolsos-mensais;desembolsos-mensais.csv
Desembolsos mensais;Dicionário de dados de desembolsos mensais;Dicionário de dados dos dados de desembolsos mensais;./data/desembolsos-mensais/dicionario-de-dados-desembolsos-mensais-do-sistema-bndes.pdf;data;desembolsos-mensais;dicionario-de-dados-desembolsos-mensais-do-sistema-bndes.pdf
Desembolsos mensais;Mapeamento de BNDES para CNAE;Mapeia as correspondências entre as classificações utilizadas pelo BNDES e os códigos CNAEs do IBGE. ;./data/desembolsos-mensais/desembolsos-mensais-mapeamento-de-bndes-para-cnae.csv;data;desembolsos-mensais;desembolsos-mensais-mapeamento-de-bndes-para-cnae.csv
Estatísticas de Aprovações ;Mapeamento de BNDES para CNAE;Mapeia as correspondências entre as classificações utilizadas pelo BNDES e os códigos CNAEs do IBGE. ;./data/aprovacoes/aprovacoes-mapeamento-de-bndes-para-cnae.csv;data;aprovacoes;aprovacoes-mapeamento-de-bndes-para-cnae.csv
Estatísticas de Aprovações ;Dicionário de dados de aprovações mensais do ...;Dicionário de dados dos dados de Aprovações;./data/aprovacoes/dicionario-de-dados-aprovacoes-no-sistema-bndes.pdf;data;aprovacoes;dicionario-de-dados-aprovacoes-no-sistema-bndes.pdf
Estatísticas de Aprovações ;Por forma de apoio (diretas) e produto - ;Aprovações do Sistema BNDES por forma de apoio (diretas) e produto. Dados a partir de 1995. Valores em R$ milhões.;./data/aprovacoes/aprovacoes-por-forma-de-apoio-diretas-e-produto-aprovacoes.csv;data;aprovacoes;aprovacoes-por-forma-de-apoio-diretas-e-produto-aprovacoes.csv
Estatísticas de Aprovações ;Por forma de apoio (indiretas) e produto - ...;Aprovações do Sistema BNDES por forma de apoio (indiretas) e produto. Dados a partir de 1995. Valores em R$ milhões.;./data/aprovacoes/aprovacoes-por-forma-de-apoio-indiretas-e-produto-aprovacoes.csv;data;aprovacoes;aprovacoes-por-forma-de-apoio-indiretas-e-produto-aprovacoes.csv
Estatísticas de Aprovações ;Por porte de empresa - Aprovações;Aprovações do Sistema BNDES por porte de empresa.Dados a partir de 1995. Valores em R$ milhões.;./data/aprovacoes/aprovacoes-por-porte-de-empresa-aprovacoes.csv;data;aprovacoes;aprovacoes-por-porte-de-empresa-aprovacoes.csv
Estatísticas de Aprovações ;Por UF - Aprovações;Aprovações do Sistema BNDES por UF. Dados a partir de 1995. Valores em R$ milhões.;./data/aprovacoes/aprovacoes-por-uf-aprovacoes.csv;data;aprovacoes;aprovacoes-por-uf-aprovacoes.csv
Estatísticas de Aprovações ;Por setor CNAE - Aprovações;Aprovações do Sistema BNDES por setor CNAE. Dados a partir de 1995. Valores em R$ milhões.;./data/aprovacoes/aprovacoes-por-setor-cnae-aprovacoes.csv;data;aprovacoes;aprovacoes-por-setor-cnae-aprovacoes.csv
Estatísticas de Aprovações ;Por subsetor CNAE agrupado - Aprovações;Aprovações do Sistema BNDES por subsetor CNAE agrupado. Dados a partir de 1995. Valores em R$ milhões.;./data/aprovacoes/aprovacoes-por-subsetor-cnae-agrupado-aprovacoes.csv;data;aprovacoes;aprovacoes-por-subsetor-cnae-agrupado-aprovacoes.csv
Estatísticas de Aprovações ;Por setor BNDES - Aprovações;Aprovações do Sistema BNDES por setor BNDES. Dados a partir de 1995. Valores em R$ milhões.;./data/aprovacoes/aprovacoes-por-setor-bndes-aprovacoes.csv;data;aprovacoes;aprovacoes-por-setor-bndes-aprovacoes.csv
